current_train_id,train_file_address,train_service_code,revised_train_id,train_id,event_timestamp
,MV6,59120042,74642BCD04,74710XCD04,1522831032000
,N2R,52160340,73041BCI04,73683BCI04,1522834775000
,N33,50520620,73491DCM04,73692BCM04,1522836524000
,N43,54606570,74044BCG04,74604CCG04,1522836648000
,N4I,59120003,88724XCK04,88608CCK04,1522837331000
,N0Q,56609010,74055BCP04,74478DCP04,1522838865000
,N27,59430444,76063BCI04,76675BCI04,1522840958000
,N0P,52407546,07658C2O04,07477D2O04,1522842360000
,N8E,51464980,236R241P04,234R241P04,1522842600000
07658C2O04,N0P,52407546,07477D2O04,07477D2O04,1522842900000
79009BCG04,MZ9,57622770,79636BCG04,79636BCG04,1522843080000
,N5X,55122820,74416ECL04,74629CCL04,1522843958000
,,12224820,31562BMK04,31561BMK04,1522844760000
,MTU,56120622,47420ECL04,47653ACL04,1522846135000
,N0F,51425230,09088BCS04,09653BCS04,1522847723000
,MYC,59430641,65092B2E04,65624B2E04,1522848650000
,N04,56230736,56644DCO04,56471DCO04,1522853612000
,NEJ,54761000,560K50CQ04,566K50CQ04,1522854633000
,MU5,53790121,55027CCP04,55659ACP04,1522856334000
,NJN,56121720,73741XC804,73676DC804,1522858866000
,NHV,56120624,49465ECV04,49655DCV04,1522859972000
,NMJ,52495100,86048CCZ04,86628ECZ04,1522862242000
,N6A,59418042,79059CCW04,79634CCW04,1522865153000
09088BCS04,N0F,51425230,09653BCS04,09653BCS04,1522865480000
,,54606570,74061CCW04,74662ECW04,1522866300000
,NPT,52190590,10062CCY04,10652ECY04,1522866360000
,NMI,52495100,86676ECY04,86744XCY04,1522868340000
86048CCZ04,NMJ,52495100,86628ECZ04,86628ECZ04,1522871727000
,NU5,55460181,150E663Z04,154E663Z04,1522871859000
,NMJ,52495100,86048CCZ04,86628ECZ04,1522871947000
,NN4,59120020,82624FCY04,82745XCY04,1522875159000
,NHK,51426930,24085C1804,24650D1804,1522878043000
,NN9,59120020,82660FC704,82747XC704,1522878546000
,NXM,56609010,74001DC904,74422FC904,1522881396000
,NY7,95998090,65607GC205,65754XC205,1522884120000
,,59120020,86616GC305,86761XC305,1522898880000
,NUQ,51463180,176R731804,174R831804,1522886628000
176R731804,NUQ,51463180,176R831804,174R831804,1522886841000
,P40,56230736,56631GC205,56454FC205,1522887017000
,NFP,59430641,65045DC704,65635DC704,1522887602000
,P07,59120020,82648GC005,82757XC005,1522889663000
,P8S,54761000,560E16C305,566E16C305,1522894758000
,P9D,52495100,88604HC405,88771XC405,1522895514000
,P8J,56121720,52772XC405,52689GC405,1522895757000
,PC0,52660191,09514C2305,09513C2305,1522898640000
,P5N,51425130,72404GC305,72656GC305,1522900881000
,020,53790121,23002EC605,23623IC605,1522910520000
,04W,56120620,62446GCD05,62660ICD05,1522913095000
,05G,95998090,42027ECK05,42669ICK05,1522913520000
,03M,55122820,73606J1F05,73783X1F05,1522916022000
,03Z,59120020,73608JCP05,73787XCP05,1522916321000
,04M,53790120,22047ECG05,22658ICG05,1522917900000
,05I,95998090,09063ECL05,09671ICL05,1522920000000
,031,52495100,86064ECE05,86636ICE05,1522920060000
,0BW,51465180,090C79CK05,096C79CK05,1522920420000
,08R,57622770,79077ECG05,79612JCG05,1522922160000
,06V,53790121,65078ECI05,65683ICI05,1522922719000
,08Z,51426930,76080ECH05,76614JCH05,1522922905000
,,53790120,86000FCO05,86684JCO05,1522937220000
,050,56120625,69488GCG05,69662ICG05,1522923965000
,09F,95998090,65014FCP05,65619JCP05,1522925760000
,070,56120721,73497GCH05,73686ICH05,1522926886000
,06M,59120030,82706YCJ05,82679ICJ05,1522930013000
,0JG,53790120,86648KCP05,86707YCP05,1522930119000
,03W,55122820,74418HCL05,74646ICL05,1522930419000
,0D1,55122820,51659KCP05,51702YCP05,1522931749000
,0JW,50520620,62423H2L05,62649K2L05,1522931847000
,0KR,95998090,09038FCP05,09661KCP05,1522931880000
79077ECG05,08R,57622770,79612JCG05,79612JCG05,1522932540000
,08R,57622770,79077ECG05,79612JCG05,1522932720000
79077ECG05,08R,57622770,79612JCG05,79612JCG05,1522932808000
,0L9,54606570,23043FCM05,23427HCM05,1522932840000
,0CN,52406842,35046FCN05,35667JCN05,1522934118000
